user_id,update_version,uninstalled,Sum of uninstall_time_hours,Sum of session_duration_min,Sum of ram_gb,device_model,Sum of crash_count,Active Users,Adjusted Uninstall,Adjusted Uninstall Count,Adjusted Uninstall Rate %,Avg Crashes,Avg FPS,Avg Session,Sum of avg_fps,Crash Affected Users,Engagement,Gap to Target,High Risk Users %,Low RAM Uninstall Rate %,Overall Uninstall Rate %,Projected Uninstall %,RAM Category,ram_gb,Required Reduction %,Retention %,Session Group,Target Status,Target Uninstall %,Total Uninstalls,Total Users,Uninstall Rate,Uninstall Rate %,Sum of Uninstall_Flag,Users At Risk,Crash Reduction %,Crash Reduction % Value
U1004,1.2.1,Yes,24,5,2,samsung-a10,2,,100,1,100,2,49.76,5,49.76,1,Low,80,100,100,100,100,Low ≤2GB,2,80,0,5-15 mins,⚠ Need More Reduction,20,1,1,1,100,1,1,0,0
U1004,1.2.1,Yes,24,5,2,samsung-a10,2,,95,0.95,95,2,49.76,5,49.76,1,Low,75,100,100,100,95,Low ≤2GB,2,80,0,5-15 mins,⚠ Need More Reduction,20,1,1,1,100,1,1,5,5
U1004,1.2.1,Yes,24,5,2,samsung-a10,2,,90,0.9,90,2,49.76,5,49.76,1,Low,70,100,100,100,90,Low ≤2GB,2,80,0,5-15 mins,⚠ Need More Reduction,20,1,1,1,100,1,1,10,10
U1004,1.2.1,Yes,24,5,2,samsung-a10,2,,85,0.85,85,2,49.76,5,49.76,1,Low,65,100,100,100,85,Low ≤2GB,2,80,0,5-15 mins,⚠ Need More Reduction,20,1,1,1,100,1,1,15,15
U1004,1.2.1,Yes,24,5,2,samsung-a10,2,,80,0.8,80,2,49.76,5,49.76,1,Low,60,100,100,100,80,Low ≤2GB,2,80,0,5-15 mins,⚠ Need More Reduction,20,1,1,1,100,1,1,20,20
U1004,1.2.1,Yes,24,5,2,samsung-a10,2,,75,0.75,75,2,49.76,5,49.76,1,Low,55,100,100,100,75,Low ≤2GB,2,80,0,5-15 mins,⚠ Need More Reduction,20,1,1,1,100,1,1,25,25
U1004,1.2.1,Yes,24,5,2,samsung-a10,2,,70,0.7,70,2,49.76,5,49.76,1,Low,50,100,100,100,70,Low ≤2GB,2,80,0,5-15 mins,⚠ Need More Reduction,20,1,1,1,100,1,1,30,30
U1004,1.2.1,Yes,24,5,2,samsung-a10,2,,65,0.65,65,2,49.76,5,49.76,1,Low,45,100,100,100,65,Low ≤2GB,2,80,0,5-15 mins,⚠ Need More Reduction,20,1,1,1,100,1,1,35,35
U1004,1.2.1,Yes,24,5,2,samsung-a10,2,,60,0.6,60,2,49.76,5,49.76,1,Low,40,100,100,100,60,Low ≤2GB,2,80,0,5-15 mins,⚠ Need More Reduction,20,1,1,1,100,1,1,40,40
U1004,1.2.1,Yes,24,5,2,samsung-a10,2,,55.00000000000001,0.55,55.00000000000001,2,49.76,5,49.76,1,Low,35.00000000000001,100,100,100,55.00000000000001,Low ≤2GB,2,80,0,5-15 mins,⚠ Need More Reduction,20,1,1,1,100,1,1,45,45
U1004,1.2.1,Yes,24,5,2,samsung-a10,2,,50,0.5,50,2,49.76,5,49.76,1,Low,30,100,100,100,50,Low ≤2GB,2,80,0,5-15 mins,⚠ Need More Reduction,20,1,1,1,100,1,1,50,50
U1004,1.2.1,Yes,24,5,2,samsung-a10,2,,44.99999999999999,0.44999999999999996,44.99999999999999,2,49.76,5,49.76,1,Low,24.999999999999993,100,100,100,44.99999999999999,Low ≤2GB,2,80,0,5-15 mins,⚠ Need More Reduction,20,1,1,1,100,1,1,55,55
U1004,1.2.1,Yes,24,5,2,samsung-a10,2,,40,0.4,40,2,49.76,5,49.76,1,Low,20,100,100,100,40,Low ≤2GB,2,80,0,5-15 mins,⚠ Need More Reduction,20,1,1,1,100,1,1,60,60
U1023,v1.3,No,24,12.3,2,samsung-a10,0,1,0,0,0,0,48.04,12.3,48.04,,Medium,-20,100,,,0,Low ≤2GB,2,,100,5-15 mins,✅ Target Achieved,20,0,1,0,0,0,1,0,0
U1023,v1.3,No,24,12.3,2,samsung-a10,0,1,0,0,0,0,48.04,12.3,48.04,,Medium,-20,100,,,0,Low ≤2GB,2,,100,5-15 mins,✅ Target Achieved,20,0,1,0,0,0,1,5,5
U1023,v1.3,No,24,12.3,2,samsung-a10,0,1,0,0,0,0,48.04,12.3,48.04,,Medium,-20,100,,,0,Low ≤2GB,2,,100,5-15 mins,✅ Target Achieved,20,0,1,0,0,0,1,10,10
U1023,v1.3,No,24,12.3,2,samsung-a10,0,1,0,0,0,0,48.04,12.3,48.04,,Medium,-20,100,,,0,Low ≤2GB,2,,100,5-15 mins,✅ Target Achieved,20,0,1,0,0,0,1,15,15
U1023,v1.3,No,24,12.3,2,samsung-a10,0,1,0,0,0,0,48.04,12.3,48.04,,Medium,-20,100,,,0,Low ≤2GB,2,,100,5-15 mins,✅ Target Achieved,20,0,1,0,0,0,1,20,20
U1023,v1.3,No,24,12.3,2,samsung-a10,0,1,0,0,0,0,48.04,12.3,48.04,,Medium,-20,100,,,0,Low ≤2GB,2,,100,5-15 mins,✅ Target Achieved,20,0,1,0,0,0,1,25,25
U1023,v1.3,No,24,12.3,2,samsung-a10,0,1,0,0,0,0,48.04,12.3,48.04,,Medium,-20,100,,,0,Low ≤2GB,2,,100,5-15 mins,✅ Target Achieved,20,0,1,0,0,0,1,30,30
U1023,v1.3,No,24,12.3,2,samsung-a10,0,1,0,0,0,0,48.04,12.3,48.04,,Medium,-20,100,,,0,Low ≤2GB,2,,100,5-15 mins,✅ Target Achieved,20,0,1,0,0,0,1,35,35
U1023,v1.3,No,24,12.3,2,samsung-a10,0,1,0,0,0,0,48.04,12.3,48.04,,Medium,-20,100,,,0,Low ≤2GB,2,,100,5-15 mins,✅ Target Achieved,20,0,1,0,0,0,1,40,40
U1023,v1.3,No,24,12.3,2,samsung-a10,0,1,0,0,0,0,48.04,12.3,48.04,,Medium,-20,100,,,0,Low ≤2GB,2,,100,5-15 mins,✅ Target Achieved,20,0,1,0,0,0,1,45,45
U1023,v1.3,No,24,12.3,2,samsung-a10,0,1,0,0,0,0,48.04,12.3,48.04,,Medium,-20,100,,,0,Low ≤2GB,2,,100,5-15 mins,✅ Target Achieved,20,0,1,0,0,0,1,50,50
U1023,v1.3,No,24,12.3,2,samsung-a10,0,1,0,0,0,0,48.04,12.3,48.04,,Medium,-20,100,,,0,Low ≤2GB,2,,100,5-15 mins,✅ Target Achieved,20,0,1,0,0,0,1,55,55
U1023,v1.3,No,24,12.3,2,samsung-a10,0,1,0,0,0,0,48.04,12.3,48.04,,Medium,-20,100,,,0,Low ≤2GB,2,,100,5-15 mins,✅ Target Achieved,20,0,1,0,0,0,1,60,60
U1028,1.2.1,No,12,15,6,redmi9,2,1,0,0,0,2,34.06,15,34.06,1,Medium,-20,,,,0,High ≥5GB,6,,100,>15 mins,✅ Target Achieved,20,0,1,0,0,0,,0,0
U1028,1.2.1,No,12,15,6,redmi9,2,1,0,0,0,2,34.06,15,34.06,1,Medium,-20,,,,0,High ≥5GB,6,,100,>15 mins,✅ Target Achieved,20,0,1,0,0,0,,5,5
U1028,1.2.1,No,12,15,6,redmi9,2,1,0,0,0,2,34.06,15,34.06,1,Medium,-20,,,,0,High ≥5GB,6,,100,>15 mins,✅ Target Achieved,20,0,1,0,0,0,,10,10
U1028,1.2.1,No,12,15,6,redmi9,2,1,0,0,0,2,34.06,15,34.06,1,Medium,-20,,,,0,High ≥5GB,6,,100,>15 mins,✅ Target Achieved,20,0,1,0,0,0,,15,15
U1028,1.2.1,No,12,15,6,redmi9,2,1,0,0,0,2,34.06,15,34.06,1,Medium,-20,,,,0,High ≥5GB,6,,100,>15 mins,✅ Target Achieved,20,0,1,0,0,0,,20,20
U1028,1.2.1,No,12,15,6,redmi9,2,1,0,0,0,2,34.06,15,34.06,1,Medium,-20,,,,0,High ≥5GB,6,,100,>15 mins,✅ Target Achieved,20,0,1,0,0,0,,25,25
U1028,1.2.1,No,12,15,6,redmi9,2,1,0,0,0,2,34.06,15,34.06,1,Medium,-20,,,,0,High ≥5GB,6,,100,>15 mins,✅ Target Achieved,20,0,1,0,0,0,,30,30
U1028,1.2.1,No,12,15,6,redmi9,2,1,0,0,0,2,34.06,15,34.06,1,Medium,-20,,,,0,High ≥5GB,6,,100,>15 mins,✅ Target Achieved,20,0,1,0,0,0,,35,35
U1028,1.2.1,No,12,15,6,redmi9,2,1,0,0,0,2,34.06,15,34.06,1,Medium,-20,,,,0,High ≥5GB,6,,100,>15 mins,✅ Target Achieved,20,0,1,0,0,0,,40,40
U1028,1.2.1,No,12,15,6,redmi9,2,1,0,0,0,2,34.06,15,34.06,1,Medium,-20,,,,0,High ≥5GB,6,,100,>15 mins,✅ Target Achieved,20,0,1,0,0,0,,45,45
U1028,1.2.1,No,12,15,6,redmi9,2,1,0,0,0,2,34.06,15,34.06,1,Medium,-20,,,,0,High ≥5GB,6,,100,>15 mins,✅ Target Achieved,20,0,1,0,0,0,,50,50
U1028,1.2.1,No,12,15,6,redmi9,2,1,0,0,0,2,34.06,15,34.06,1,Medium,-20,,,,0,High ≥5GB,6,,100,>15 mins,✅ Target Achieved,20,0,1,0,0,0,,55,55
